step,version,age,batch,loss,pg_loss,kl_loss,adv_mean,reward,eval_reward,rollout/n_total,rollout/n_appended,rollout/n_eos,rollout/n_budget,rollout/n_loop,rollout/n_invalid,rollout/n_empty,rollout/valid_rate,rollout/generated_tokens,rollout/valid_tokens,rollout/wall_time,rollout/rollout_tokens,rollout/expected_rollout_tokens,rollout/budgets_used,rollout/teacher_forward_tokens,rollout/loop_periods,rollout/temperature,rollout/repetition_penalty,rollout/loop_min_len,rollout/source,rollout/budget_utilization,rollout/truncation_rate,rollout/loop_rate,rollout/eos_rate,rollout/accuracy_proxy,rollout/raw_tok_per_sec,rollout/valid_tok_per_sec,rollout/useful_per_token,hit_rate,refresh_age_p95,reuse_p95,max_length_ratio,cache_health/status,cache_health/reason,lookup/total,lookup/hit,lookup/miss,lookup/invalid,lookup/duplicate,lookup/hit_rate,refresh_train/skipped,refresh_train/skip_reason,refresh_pool/size
17,18,10,2,0.2383522391319275,0.1820349246263504,2.8158657550811768,-0.1962890625,-0.07861328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,9,2,0.13780491054058075,0.09800298511981964,1.9900963306427002,-0.08544921875,-0.0517578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,10,2,0.22109071910381317,0.1587546169757843,3.116805076599121,-0.1728515625,-0.09814453125,-0.042106804583454505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,10,2,0.20204102993011475,0.14058804512023926,3.0726490020751953,-0.138671875,-0.0830078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,10,2,0.1292370706796646,0.05533766373991966,3.6949703693389893,-0.0257568359375,0.04931640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,10,2,0.13372239470481873,0.06540708243846893,3.4157660007476807,-0.0625,-0.032470703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,9,2,0.18005743622779846,0.08028802275657654,4.988470554351807,-0.0615234375,0.016357421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,9,2,0.12287626415491104,0.06050000339746475,3.1188130378723145,-0.0498046875,0.0283203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,9,2,0.12260358780622482,0.061679791659116745,3.046189785003662,-0.055419921875,0.05029296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,10,2,0.09034449607133865,0.028387591242790222,3.0978453159332275,-0.03662109375,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,10,2,0.055950455367565155,-0.0009386404417455196,2.844454765319824,0.034423828125,0.126953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,9,2,0.08983089029788971,0.050649553537368774,1.95906662940979,-0.00848388671875,0.047607421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,10,2,0.15469692647457123,0.062384821474552155,4.615605354309082,-0.00811767578125,0.054443359375,0.0398910235526273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,9,2,0.23642151057720184,0.12228798121213913,5.706676483154297,-0.0830078125,0.0301513671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,9,2,0.15569470822811127,0.05528223142027855,5.020623683929443,0.004119873046875,0.0703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,10,2,0.09735669195652008,0.011569755151867867,4.289347171783447,0.048095703125,0.1259765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,10,2,0.15663498640060425,0.03962951526045799,5.850273609161377,0.04345703125,0.09716796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,10,2,0.08082236349582672,-0.024687793105840683,5.275507926940918,0.12158203125,0.150390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,10,2,0.10714481770992279,0.002213146071881056,5.246583938598633,0.052734375,0.1572265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,10,2,0.024428144097328186,-0.07280448079109192,4.861631393432617,0.1435546875,0.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,10,2,0.1133544072508812,-0.025296619161963463,6.932551860809326,0.076171875,0.2080078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,9,2,0.23007839918136597,0.0928950086236,6.8591694831848145,-0.00885009765625,0.142578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,10,2,0.15147051215171814,0.07438723742961884,3.8541641235351562,0.03466796875,0.130859375,0.08906917154672556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8,6,0,6,2,0,0,0.75,8192,6144,4.785953391343355,6144,8192,8192,12288,"(2, 3, 4)",0.7,1.0,8,student,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.75,,,,6144,,,,,,,,,1.0,0.75,0.25,0.0,0.75,1711.67567465604,1283.75675599203,0.0009765625,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.75,,,,6144,,,,,,,,,1.0,0.75,0.25,0.0,0.75,1711.67567465604,1283.75675599203,0.0009765625,1.0,0,0,0,HEALTHY,,0,0,0,0,0,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,cold_start_pool_too_small,6
